branch_id,branch_name,mail_address_1,mail_city,mail_state,mail_zip_code,mail_country
1958,"CSC DENVER, CO",11198 E 45th Ave    ,Denver         ,CO,80239      ,US
7302,DIST CTR - WARRENDALE PA,185 Thorn Hill Rd   ,Warrendale     ,PA,15086      ,US
2685,"KITIMAT, BC",721-ENTRPISE AVENUE ,Kitimat        ,BC,V8C 2E7    ,CN
1917,C-B KANSAS CITY,10814 W 78th St     ,Shawnee        ,KS,66214      ,US
6711,KERN RIVER CA,3900 Monte Cristo Rd,Bakersfield    ,CA,93308      ,US
7896,"WESTMINSTER, CA - SCE",7300 W Hazard Ave   ,Westminster    ,CA,92683      ,US
6501,HONOLULU HI,1030 Mapunapuna St  ,Honolulu       ,HI,96819      ,US
1851,CSC SAN DIEGO CA,7790 Convoy Ct      ,San Diego      ,CA,92111      ,US
6101,US - WA - Kent,951 Monster Rd      ,Renton         ,WA,98057      ,US
3240,GRAND RAPIDS MI,7650 Caterpillar Dr ,Grand Rapids   ,MI,49548      ,US
7850,TODDVILLE NC - DUKE ENERGY,610 Toddville Rd    ,Charlotte      ,NC,28214      ,US
7450,WILSONVILLE OR,9125 SW Ridder Rd   ,Wilsonville    ,OR,97070      ,US
6662,PUEBLO CO,115 S Main St       ,Pueblo         ,CO,81003      ,US
7883,PORTLAND OR,2341 NW 31st Ave    ,Portland       ,OR,97210      ,US
6441,US - ID - Boise - 5480 Irving Street,5480 Irving St      ,Boise          ,ID,83706      ,US
1974,"CSC HOUSTON, TX",7049 Brookhollow W D,Houston        ,TX,77040      ,US
7303,"DIST CTR - ATLANTA, GA",2935 Shawnee Industr,Suwanee        ,GA,30024      ,US
1934,C-B HOUSTON,"7400 Security Way, S",Jersey Village ,TX,77040      ,US
7849,COLUMBIA SC,225 Old Wire Rd     ,West Columbia  ,SC,29172      ,US
1929,CBC LCOMP LITTLE ROCK,3600 W 69th St      ,Little Rock    ,AR,72209      ,US
1772,LYNCHBURG VA,105 Industrial Dr   ,Lynchburg      ,VA,24501      ,US
6502,MAUI HI,411 Lehuakona St    ,Kahului        ,HI,96732      ,US
3915,RS ELEC. - DETROIT MI,31478 Industrial Rd ,Livonia        ,MI,48150      ,US
7881,SAN ANTONIO TX - UTILITY,4410 Dividend Dr    ,San Antonio    ,TX,78219      ,US
7657,MACON GA - EESCO,1041 Airport South D,Macon          ,GA,31216      ,US
7871,W.I.S.DUKE ENERGY CHARLOTTE NC,"5521 Lakeview Dr, St",Charlotte      ,NC,28269â€¬   ,CN
7855,DES MOINES IA,2301 Fleur Dr       ,Des Moines     ,IA,50321      ,US
7228,GULF CAPITAL PROJECTS,7049 Brookhollow W D,Houston        ,TX,77040      ,US
7587,"RALEIGH, NC",2205 Westinghouse Bl,Raleigh        ,NC,27604      ,US
2145,MONCTON NB,400 Edinburgh Dr    ,Moncton        ,NB,E1E 2L1    ,CN
3635,NE OEM VIRTUAL,840 Riverside Dr    ,Asheville      ,NC,28804      ,US
7628,WOODRIDGE IL - EESCO,2401 Internationale ,Woodridge      ,IL,60517      ,US
2525,NISKU AB,2319 9th St         ,Nisku          ,AB,T9E 7Z7    ,CN
6105,EUGENE OR,1939 W 2nd Ave      ,Eugene         ,OR,97402      ,US
1925,C-B SHREVEPORT,9211 Slack Rd       ,Shreveport     ,LA,71106      ,US
1768,HAMPTON VA,418 Aberdeen Rd     ,Hampton        ,VA,23661      ,US
1932,C-B DALLAS/FT WORTH TX,9400 N Royal Ln     ,Irving         ,TX,75063      ,US
2460,SASKATOON SK,3911 Millar Ave     ,Saskatoon      ,SK,S7P 0C1    ,CN
1940,C-B LITTLE ROCK VALUE ADD SVRS,3600 W 69th St      ,Little Rock    ,AR,72209      ,US
1920,C-B OKLAHOMA CITY,4313 SW 21st St     ,Oklahoma City  ,OK,73108      ,US
6337,US - CA - Van Nuys,16699 Roscoe Blvd   ,North Hills    ,CA,91343      ,US
1017,US - NY - HAUPPAUGE - INDUSTRIAL,500 Prime Pl        ,Hauppauge      ,NY,11788      ,US
7461,MS - RIVERSIDE AZ,10209 W. Roosevelt S,Avondale       ,AZ,85323      ,US
2670,CASTLEGAR BC,2328  6Th Ave       ,Castlegar      ,BC,V1N 2W1    ,CN
