Year_Qtr,Ohm_ID,Cust_ID,Cust_Key,Rep,State,Category,Revenue
2022_Q4,8091,2458,Venture Home Solar Llc* - DE -,RyanW,DE,MINI,415
2023_Q1,8091,2458,Venture Home Solar Llc* - DE -,RyanW,DE,MINI,747
2023_Q2,8091,2458,Venture Home Solar Llc* - DE -,RyanW,DE,MINI,830
2023_Q3,8091,2458,Venture Home Solar Llc* - DE -,RyanW,DE,MINI,581
2024_Q1,8091,2535,Venture Home Solar Llc* - CT -,RyanW,CT,MINI,913
2022_Q2,38398,603,Ventara Dba Probid Energy - CO,Genki,CO,MINI,12.45
2022_Q4,38398,603,Ventara Dba Probid Energy - CO,Genki,CO,MINI,83
2023_Q3,38398,603,Ventara Dba Probid Energy - CO,Genki,CO,MINI,12.45
2024_Q4,38398,603,Ventara Dba Probid Energy - CO,Genki,CO,MINI,9.02
2024_Q3,43192,1874,Velocity Energy - Cod - NJ - 1,RyanW,NJ,MINI,36.08
2024_Q4,43192,1874,Velocity Energy - Cod - NJ - 1,RyanW,NJ,MINI,4.51
2023_Q3,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,2916
2024_Q2,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,902
2024_Q3,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,451
2024_Q4,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,2706
2025_Q1,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,1804
2025_Q2,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,1533.4
2025_Q3,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,2345.2
2025_Q4,39375,1998,Velocity Energy & Home Solutio,RyanW,NJ,MINI,180.4
2022_Q4,39375,695,Velocity Energy & Home Solutio,RyanW,NJ,MINI,8.3
2023_Q1,39375,695,Velocity Energy & Home Solutio,RyanW,NJ,MINI,4.15
2025_Q2,,3335,Vara Usa - PA - 3,RyanW,PA,MINI,180.4
2024_Q4,11282,1514,Vantage Point Solar - TX - 1,Genki,TX,MINI,270.6
2022_Q1,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,16.6
2022_Q3,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,12.45
2023_Q4,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,55.75
2024_Q2,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,80.46
2024_Q3,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,13.53
2024_Q4,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,25.98
2025_Q1,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,22.55
2025_Q2,27252,122,Vanguard Solar Services - CO -,Genki,CO,MINI,22.55
2022_Q1,N/A,2621,Valley Strea - NY - 5,RyanW,NY,MINI,24900
2022_Q2,N/A,2621,Valley Strea - NY - 5,RyanW,NY,MINI,962.77
2022_Q3,N/A,2621,Valley Strea - NY - 5,RyanW,NY,MINI,5395
2023_Q1,N/A,2621,Valley Strea - NY - 5,RyanW,NY,MINI,1245
2023_Q3,N/A,2621,Valley Strea - NY - 5,RyanW,NY,MINI,1660
2023_Q4,N/A,2621,Valley Strea - NY - 5,RyanW,NY,MINI,249
2023_Q2,457,1780,Valley Solar Solutions - CA -,Genki,CA,MINI,332
2022_Q2,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,1141.25
2022_Q3,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,722.1
2022_Q4,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,1846.75
2023_Q1,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,3984
2023_Q2,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,2573
2023_Q3,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,435.75
2023_Q4,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,1826
2024_Q1,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,830
2024_Q2,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,534
2025_Q3,23369,714,Valley Solar Llc - MA - 1,RyanW,MA,MINI,428.45
2024_Q3,46384,2957,Valectric Llc - TX - 1,Genki,TX,MINI,153.34
2024_Q4,46384,2957,Valectric Llc - TX - 1,Genki,TX,MINI,1032.79
2025_Q1,46384,2957,Valectric Llc - TX - 1,Genki,TX,MINI,153.34
2025_Q1,,3157,Val Strea-78 - NY - 5,RyanW,NY,MINI,3878.6
2025_Q4,,3559,Val Green Energy - NJ - 1,RyanW,NJ,MINI,4.51
2022_Q1,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,4565
2022_Q2,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,3320
2022_Q3,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,3942.5
2022_Q4,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,21580
2023_Q1,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,13072.5
2023_Q2,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,1992
2025_Q2,256,135,V3 Electric Inc. - CA - 1,Genki,CA,MINI,360.8
2025_Q3,,3417,Uv Solar - MA - 1,RyanW,MA,MINI,721.6
2025_Q4,,3417,Uv Solar - MA - 1,RyanW,MA,MINI,270.6
2022_Q1,N/A,2460,Usesi Guest - WA - 4,Genki,WA,MINI,1245
2022_Q3,N/A,2461,Usesi Guest - VT - 4,RyanW,VT,MINI,83
2022_Q1,15614,491,Usa Energy Savers - FL - 1,RyanW,FL,MINI,83
2022_Q3,15614,491,Usa Energy Savers - FL - 1,RyanW,FL,MINI,249
2022_Q4,15614,491,Usa Energy Savers - FL - 1,RyanW,FL,MINI,166
2022_Q2,22428,580,Us Solar Development - PA - 1,RyanW,PA,MINI,4.15
2022_Q1,760,501,Us Green Technologies - CT - 1,RyanW,CT,MINI,8.3
2023_Q4,8174,2135,"Us Energy Concierge, Inc - NY ",RyanW,NY,MINI,680.4
2022_Q1,7064,49,Urban Solar - FL - 1,RyanW,FL,MINI,622.5
2022_Q4,7064,49,Urban Solar - FL - 1,RyanW,FL,MINI,298.8
2023_Q1,7064,49,Urban Solar - FL - 1,RyanW,FL,MINI,332
2023_Q1,36950,2311,Upscale Energy Inc - CA - 2,Genki,CA,MINI,388.8
2023_Q2,36950,2311,Upscale Energy Inc - CA - 2,Genki,CA,MINI,9622.8
2023_Q3,36950,2311,Upscale Energy Inc - CA - 2,Genki,CA,MINI,1555.2
2022_Q3,36950,1024,Upscale Energy - CA - 1,Genki,CA,MINI,979.4
2022_Q4,36950,1024,Upscale Energy - CA - 1,Genki,CA,MINI,3154
2023_Q1,36950,1024,Upscale Energy - CA - 1,Genki,CA,MINI,581
2023_Q4,44290,1983,Uprise Solar - MD - 1,RyanW,MD,MINI,166
2022_Q1,N/A,75,"Untd Holdings, Llc - UT - 1",Genki,UT,MINI,486
2022_Q3,N/A,75,"Untd Holdings, Llc - UT - 1",Genki,UT,MINI,291.6
2022_Q1,34751,490,Untd Energy - TX - 1,Genki,TX,MINI,1660
2022_Q2,34751,490,Untd Energy - TX - 1,Genki,TX,MINI,11205
2022_Q3,34751,490,Untd Energy - TX - 1,Genki,TX,MINI,2905
2022_Q4,34751,490,Untd Energy - TX - 1,Genki,TX,MINI,2905
2023_Q4,38450,2107,Universal Electric Pnw Llc - W,Genki,WA,MINI,1328
2024_Q1,38450,2107,Universal Electric Pnw Llc - W,Genki,WA,MINI,2767.8
2024_Q2,38450,2107,Universal Electric Pnw Llc - W,Genki,WA,MINI,996
2023_Q2,14504,1673,"United Solar, Llc - WA - 1",Genki,WA,MINI,913
2024_Q2,26868,2639,United Solar Co - NJ - 3,RyanW,NJ,MINI,180.4
