Contractor_Name,State,RT_POS_Customer,Qtrly_Avg_Kw,Qtrly_Avg_PC
Lavoie Electric,AZ,,17.1398437142857,1.72338314285714
Ward Electrical Services,AZ,,10.293025,1.006834
Solar Restore AZ,AZ,,11.2595555,1.0035415
"Cactus Valley Electrical, LLC",AZ,,32.311666875,3.63999075
EZ Solar Service LLC,AZ,,9.712956,1.006579
Alternative Power Generation,AZ,,9.646968,1.005175
Arizona Accurate Solar Inc,AZ,,14.13976325,1.0064825
Armstrong Service Electric,AZ,,28.845014,1.010344
Fox Valley Electric,AZ,,172.5509267,17.2022258
Purple Foot Solar,AZ,,666.680417888889,71.6138562222222
Glyde Solar LLC,AZ,TRUE,11.147329,1.00651466666667
Bravos Solar And Electric Llc,AZ,,8.62692,1.137206
"Newgrid, Inc ",AZ,,8.541661,1.013514
Kayo Energy,AZ,TRUE,1233.4703127,161.4342418
B & B Development LLC,AZ,,8.335237,1.011259
Baker Solar and Electric LLC,AZ,,8.400087,1.0046055
Johnson Electric,AZ,,7.800825,1.006376
Spreck Energy,AZ,,7.546901,1.160142
Southland Electrical Contractors,AZ,,7.4722735,1.1492025
Michael Solar Inc,AZ,,7.517816,1.158105
Goodco Solar,AZ,,7.517816,1.158105
1 By 1 Roofing and Solar,AZ,,9.32327325,1.43149475
Solar Energy Concepts,AZ,,7.483417,1.152198
Green Home Systems Inc,AZ,,7.48274,1.148899
Sun Solar Solution,AZ,,7.4107905,1.137852
E T C Construction LLC,AZ,,10.8195834285714,1.66133285714286
Sparta Solar,AZ,,7.428218,1.142073
Sky Energy Inc,AZ,,14.8541575,2.2807065
Powered By Elevation,AZ,,25.937305,3.9824125
Volta Electrical Solutions,AZ,,7.428121,1.140513
Lidini Company Dba Sunsystem Technology,AZ,,7.418395,1.13902
ABCO Solar Inc,AZ,,23.4758572857143,3.58502942857143
Williams & Son's Electric,AZ,,240.988262142857,36.7985802857143
Homerun Solar,AZ,,7.393001,1.137206
TJ Bednar & Co,AZ,,8.246688,1.26619725
Simple Solar Industries LLC,AZ,,7.390402,1.134722
Ridgepoint Electric,AZ,,7.390402,1.134722
The Cozzetti Company Inc,AZ,,7.390402,1.134722
Power4Ward,AZ,,18.814673,2.0113085
Erics Electric,AZ,,7.143866,1.002094
Generation Solar,AZ,,93.28806,12.153836
Sky Power Arizona LLC,AZ,TRUE,485.824672777778,53.8372505555556
The Solar Exchange ,AZ,TRUE,24.0990541111111,2.60150711111111
Suntuity,AZ,TRUE,33.8692571111111,4.38721388888889
Addon Electric LLC,AZ,,5.287695,1.013514
"Swan Contractors, Inc",AZ,,7.035747,1.00585866666667
Zglobal,AZ,,4.84853,1.006834
Happy Home Systems,AZ,,7.022123,1.0153775
Sigora Solar,AZ,,2.628595,1.013514
Tucson Solar Pros,AZ,TRUE,102.23952175,15.63108075
Desert Edge Electric LLC,AZ,,128.156466888889,14.170308
Freedom Forever,AR,TRUE,476.38952625,58.8776250833333
Shine Solar LLC,AR,,581.509329076923,71.8381168461539
Fastrac Energy Service,AR,TRUE,411.969681375,50.89478025
Natural Energy Solutions,AR,TRUE,212.1700852,26.2115163
Lumio,AR,TRUE,795.185094818182,98.2372557272727
Seal Solar,AR,,134.868138307692,16.6616243076923
Nivo Solar,AR,TRUE,330.24281775,40.798234875
The Stitt Group,AR,,112.635382153846,13.914666
R&D Electrical-Solar Inc,AR,,140.2015435,17.3205145
Natural Energy,AR,,60.371985875,7.458362375
"Ozark Solar, LLC",AR,,56.8331392857143,7.02117271428571
Bse Electric,AR,,82.0508645,10.1344765
Synergy Renewable Systems LLC,AR,,279.126341833333,34.4832995
Omega Solar,AR,,47.4101843333333,5.85705966666667
"Perihelion Solar, Inc.",AR,TRUE,56.6374325454546,6.88059390909091
Sunrise Solar LLC,AR,,54.277441,6.7054415
Good Faith Solar LLC,AR,,35.8501506666667,4.42893133333333
Sunrise Solar,AR,TRUE,53.3879175,6.59555
A+Plus Electric,AR,,56.126181875,6.9338345
Horizon Roofing Solar & Exteriors,AR,,34.9807404,4.3215248
Arkansas Energy Ventures LLC,AR,,78.9416096666667,9.75245477777778
Peak Power Solar LLC,AR,,48.148518875,5.94827375
Sole Energy Solutions Llc,AR,,29.305562,3.6204125
Turn Key Construction Inc,AR,,57.794026,7.13988
Ark Solar LLC,AR,,28.7512935,3.551938
Edison Solar,AR,,22.829143,2.820315
Helios Solar Energy LLC,AR,TRUE,45.078059,5.568948
Aplus Electric,AR,,22.531764,2.7835765
Hill Electric,AR,,40.6321275,5.01969775
Sunergy Construction,AR,TRUE,19.9040025,2.4589425
New Farm Solar,AR,,24.9843761111111,3.08657266666667
Kin Home,AR,TRUE,21.3006783333333,2.631488
Green Light Solar (Tx),AR,TRUE,15.219429,1.88021
MyRoof Solar,AR,TRUE,25.50168,3.15048
Fluent Solar LLC,AR,TRUE,144.075309375,17.799079875
R&D Electric,AR,,19.561848,2.416673
Sk&C Electric,AR,,20.0766335,2.4802695
R & D Electric,AR,,19.307015,2.385191
