Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
Solaria Energy Solutions,FL,200,5621,1,RyanW,1615.82,510.25,473,86,283.6,,43,43,86,301,,86,,,,,3527.67
Profesional Electrical Service,FL,199,5621,1,RyanW,2393.24,,,,,,,,,,,,,,,,2393.24
Onsite Energy,MT,198,4639,1,Genki,1209.6,2204,928,498,1508,828,,,,,3256.6,30.8,123.2,,,,10586.2
"Lumio, Inc",FL,197,5888,1,RyanW,521,119,373.4,119,631.4,360.8,,,,,,,,,,,2124.6
Kuubix Global Llc,FL,196,5621,1,RyanW,36,,,,,,,,,,,,,,,,36
Innovative Solar Energy,FL,195,5621,1,RyanW,418,461,1646.3,1167,1830,512.4,86,129,,431.15,133.2,,,,,,6814.05
Imperium Electric,TX,194,1987,1,Genki,414.92,,,,,,,,,,,,,,,,414.92
Green House Solar & Air Inc,FL,193,8018,1,RyanW,4918.45,210.5,960.91,1770.2,178.2,,,,801,446.8,,,,,,,9286.06
"Fullers Energy, Llc",MA,2511,0,4,RyanW,501,2431,3097,1810,1237,1936,1075,1313,415,,743,902,653,2293.8,,,18406.8
Everlight Solar,MN,192,4664,1,Guy,86,,,,,,,,,,,,,,,,86
Cod Solar Acct Only,CA,191,7605,1,Genki,872.92,1709.86,949,1944.77,1749.08,580.56,911.28,111.66,270.6,,169.32,,90.2,144.32,270.6,270.6,10044.77
Cod Sales,TX,190,236,1,Genki,4798.42,22895.68,10259.95,13519.71,12095.91,10147.73,10346.05,5013.9,4364.09,8884.66,7138.46,6620.72,6409.32,6028.55,2247.37,360.8,131131.32
Ced - Austin,FL,189,8018,1,RyanW,720,11220,,,,,,,,,,,,,,,11940
United Better Homes,RI,215,224,1,RyanW,4585,4402.8,5977,5762,5031,3624.6,1505,3070.2,3655,5289,4601,4343,2537,4214,5082.6,1728.6,65407.8
Sunpower,IL,213,4984,1,Guy,2436.2,6571,664,1328,,,,,,,,,,,,,10999.2
Sunpower,CA,214,6435,1,Genki,4352.2,,498.4,1589,2436.6,7054.3,,,,,,,,,,,15930.5
Sun Pro,OH,212,1154,1,Guy,6147,49515,,,,,,,,,,,,,,,55662
Solgen Power Llc,WA,211,5971,1,Genki,152969,448289.52,338250,464800,1395,,12542,,,,,,,,,,1418245.52
Revolution Energy Systems Inc,IL,210,1045,1,Guy,175.8,,580,,,11039.75,72,2978.5,,,,,,,,,14846.05
Plug Pv Llc,FL,209,8018,1,RyanW,1074,2258,3973.8,1830,3240.6,644.4,432.4,223.4,,,,,,,,,13676.6
Nw Electric And Solar,WA,208,8064,1,Genki,1370.6,,879,,765.8,1616.8,,1184.4,,,,,,,,,5816.6
Isaksen Solar,MA,207,224,1,RyanW,366.6,2184.7,1099,2673.8,2604,,,1739,,,1117,,,1074,3692.9,,16551
Ion Solar Pros,CT,206,4984,1,RyanW,20.75,62.25,477.25,1494,1663,2075,2284.4,3226.2,817.6,446.8,966.6,1288.8,1787.2,,4086.25,,20696.1
