Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
"Lumio, Inc",FL,197,5888,1,RyanW,521,119,373.4,119,,,,,,,,,,,,,1132.4
Kuubix Global Llc,FL,196,5621,1,RyanW,36,,,,,,,,,,,,,,,,36
Innovative Solar Energy,FL,195,5621,1,RyanW,418,461,1646.3,1167,,,,,,,,,,,,,3692.3
Imperium Electric,TX,194,1987,1,Genki,414.92,,,,,,,,,,,,,,,,414.92
Green House Solar & Air Inc,FL,193,8018,1,RyanW,4918.45,210.5,960.91,1770.2,,,,,,,,,,,,,7860.06
"Fullers Energy, Llc",MA,2511,0,4,RyanW,501,2431,3097,1810,,,,,,,,,,,,,7839
Everlight Solar,MN,192,4664,1,Guy,86,,,,,,,,,,,,,,,,86
Cod Solar Acct Only,CA,191,7605,1,Genki,872.92,1709.86,949,1944.77,,,,,,,,,,,,,5476.55
Cod Sales,TX,190,236,1,Genki,4798.42,22895.68,10259.95,13519.71,,,,,,,,,,,,,51473.76
Ced - Austin,FL,189,8018,1,RyanW,720,11220,,,,,,,,,,,,,,,11940
United Better Homes,RI,215,224,1,RyanW,4585,4402.8,5977,5762,,,,,,,,,,,,,20726.8
Sunpower,IL,213,4984,1,Guy,2436.2,6571,664,1328,,,,,,,,,,,,,10999.2
Sunpower,CA,214,6435,1,Genki,4352.2,,498.4,1589,,,,,,,,,,,,,6439.6
Sun Pro,OH,212,1154,1,Guy,6147,49515,,,,,,,,,,,,,,,55662
Solgen Power Llc,WA,211,5971,1,Genki,152969,448289.52,338250,464800,,,,,,,,,,,,,1404308.52
Revolution Energy Systems Inc,IL,210,1045,1,Guy,175.8,,580,,,,,,,,,,,,,,755.8
Plug Pv Llc,FL,209,8018,1,RyanW,1074,2258,3973.8,1830,,,,,,,,,,,,,9135.8
Nw Electric And Solar,WA,208,8064,1,Genki,1370.6,,879,,,,,,,,,,,,,,2249.6
Isaksen Solar,MA,207,224,1,RyanW,366.6,2184.7,1099,2673.8,,,,,,,,,,,,,6324.1
Ion Solar Pros,CT,206,4984,1,RyanW,20.75,62.25,477.25,1494,,,,,,,,,,,,,2054.25
Empower Energy Solutions,MA,205,224,1,RyanW,299.25,235.95,1042.95,240.8,,,,,,,,,,,,,1818.95
Cod-Solustria Solar Llc,TX,204,1987,1,Genki,196.34,,,,,,,,,,,,,,,,196.34
Cod Sales,CO,203,2685,1,Genki,57.1,10.75,,34.16,,,,,,,,,,,,,102.01
C & C Contracting Solutions Ll,FL,202,8018,1,RyanW,540.05,,,,,,,,,,,,,,,,540.05
Wilkes-Barre,PA,2620,0,5,RyanW,126.58,,,,,,,,,,,,,,,,126.58
United Better Homes,MA,222,224,1,RyanW,1070.2,5504,7267,5676,,,,,,,,,,,,,19517.2
Summit Energy Group,MA,221,224,1,RyanW,29,,172,1869,,,,,,,,,,,,,2070
Solar My Home,FL,220,4560,1,RyanW,7.2,,,,,,,,,,,,,,,,7.2
Rising Sun Epc,OK,219,236,1,Guy,1276,,,,,,,,,,,,,,,,1276
Milholland Electric,NM,218,148,1,Genki,83,,,,,,,,,,,,,,,,83
Grne Solar,IA,217,987,1,Guy,1014.8,1827.21,839.72,,,,,,,,,,,,,,3681.73
Great Sky,MA,216,224,1,RyanW,3572.4,4734.6,4854.7,3167.4,,,,,,,,,,,,,16329.1
