Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
101,Lumio Hx Inc.,1,5621,FL,RyanW,3640,,,,,3280,7860,
2962,Solar Energy Group Hub,1,9106,MD,RyanW,3640,,,,,,12500,
260,Positive Solar,1,8756,AZ,Genki,3618,,,,,5286,17491,
73,"Solar Works Energy, Llc",1,148,NM,Genki,3552,,12,,,800,30100,
190,Cod Sales,1,237,TX,Genki,3537,,,50,,2489,8576,
1608,Ny Solar Maint / Amer Solar Re,1,5621,FL,RyanW,3504,6379,,,,4500,6700,
83,Cod Sales,1,8018,FL,RyanW,3503,652,,,,3492,6520,
3432,Integrate Sun,1,9106,MD,RyanW,3481,,,,,,6878,
4,"Cod-Southswest Energy, Llc",1,1987,TX,Genki,3480,,,,,3610,17900,
1107,Sunuso Energy,1,4560,FL,RyanW,3478,,,,,3478,7350,
343,Lunex Power Inc,1,8018,FL,RyanW,3460,,,,,1083,6084,
714,Valley Solar Llc,1,224,MA,RyanW,3434,,640,,,3294,11130,
15,Photon Brothers,1,1875,CO,Genki,3433,,,,,54343,120220,
3436,"Fort Mcmurray, Ab (2520)",8,2520,AB,Guy,3430,,,,,400,13800,
1949,Tml International,1,8064,WA,Genki,3410,,,130,,1410,9005,
1988,Over The Top Solar,3,0,NJ,RyanW,3400,,260,,,200,,
2470,Summit Solar Solutions Llc,4,0,MA,RyanW,3400,,3,,,3400,9100,
11,Home Pro Solutions,1,1987,TX,Genki,3393,,,,,3559,32996,
112,Devlin Contracting & Maintenan,1,224,MA,RyanW,3380,,,,,2300,16830,
511,Sunbadger Solar Llc,1,1045,IL,Guy,3360,,,,,3600,3500,
2017,Superior Solar Design Llc,3,0,PA,RyanW,3340,,,,,,,
850,"Electrical Systems Solutions, ",1,8064,WA,Genki,3300,,,,,3460,10980,
1445,"Meraki Installers, Llc",1,1987,TX,Genki,3296,,,,,2325,6000,
154,Florida Power Services,1,8018,FL,RyanW,3283,,,,,52,,
27,Castaways Energy Llc.,1,5621,FL,RyanW,3282,,,,,3200,10000,
120,Sunpower,1,4984,NY,RyanW,3264,,,,,2440,3800,
185,Pm & M Elecric Dba Titan Solar,1,1987,TX,Genki,3240,,,,,,,
1963,Level Construction & Roofing L,1,5621,FL,RyanW,3240,,,,,1672,8200,
104,Seal Solar,1,4187,AR,Guy,3200,,,,,3000,9000,
2136,Solar Installations By Marcor,2,0,NY,RyanW,3180,13700,,12400,,3800,,
52,All American Solar Llc,1,5621,FL,RyanW,3149,,,,,2889,8380,
398,Hays Electrical,1,3273,TX,Genki,3090,,,,,5740,10308,
373,Vision Solar,1,224,MA,RyanW,3080,,,,,4140,4320,
2810,Senergy Solar Cayman Ltd,1,4560,FL,RyanW,3070,,,,,,15200,
44,Sun-Tec Solar Energy,1,8618,FL,RyanW,3065,,,,,3375,1600,
98,Tempo Electric,1,4090,NV,Genki,3063,,80,,,80,300,
1240,Maine Solar Solutions,1,4422,ME,RyanW,3061,,,300,,5401,11201,
2134,Crescent Electric Supply,2,0,IL,Guy,3060,,,10000,,5500,,
86,"Lumio Hx, Inc.",1,8018,FL,RyanW,3050,,,,,3650,7760,
383,Oej Electric Llc,1,8756,AZ,Genki,3038,,,,,3167,9804,
556,Solgen Power Llc,1,5971,OH,Guy,3000,,,,,,,
2751,4988488 Marcor Solar Inc,6,0,NY,RyanW,2980,2970,,,,800,3300,
58,Photon Bros,1,7605,CA,Genki,2969,,,,,3071,2300,
798,Independent Power Systems,1,821,MT,Genki,2966,,80,,,3307,9188,
59,Pm&M Electric Dba Titan Solar,1,8018,FL,RyanW,2960,,,,,4000,49500,
1288,Xero Solar,1,7133,CA,Genki,2950,,1239,,,3347,7322,1
1420,"Boss Energy, Llc.",1,1132,SC,RyanW,2927,,,,,1642,5728,
67,"Ac/Dc Solar, Llc",1,8018,FL,RyanW,2923,,,,,3302,8360,
2141,Exact Energy Partners Llc,2,0,PA,RyanW,2900,63592,,56500,23,3600,,
2666,Integrate Sun Llc,1,1132,GA,RyanW,2897,,,,,,5630,
774,Plug Pv Llc,1,224,MA,RyanW,2880,,,,,1720,10700,
2580,Solar Energy World Llc,1,8018,FL,RyanW,2867,,,,,,11500,
629,New Prairie Construction,1,6640,IL,Guy,2864,,,,,3124,7200,
2006,Exact Energy Partners Dba Exac,3,0,PA,RyanW,2860,8866,,,,500,,
387,Design 1 Group,1,6058,TN,Guy,2853,,,,,3073,12470,
502,Encor Solar,1,8018,FL,RyanW,2852,,,,,2822,14300,
18,Sunergy Solar Llc,1,5621,FL,RyanW,2830,,,,,5189,59510,
1235,Sunnova Energy Corporation,1,236,TX,Genki,2828,,,,,2828,11312,
926,Ibermex Capital Llc,1,239,TX,Genki,2806,,,,,3030,6650,
1998,Velocity Energy & Home Solutio,3,0,NJ,RyanW,2800,16819,,,,,,
913,Team Sunshine,1,224,MA,RyanW,2780,,,,,120,2460,
205,Empower Energy Solutions,1,4984,MA,RyanW,2725,,,,,3500,12140,
2042,Radiant Energy & Solar,1,5621,FL,RyanW,2725,,,,,10,700,
102,Meraki Solutions,1,5621,FL,RyanW,2722,,,,,2280,9000,
205,Empower Energy Solutions,1,224,MA,RyanW,2717,,755,,,1773,13500,
869,Amistad Trucking,1,239,TX,Genki,2712,,,,,2970,7024,
37,Greenlight Solar - Tx,1,237,TX,Genki,2680,,,,,1760,1160,
30,Energy Solutions Direct,1,8018,FL,RyanW,2661,,,,,2267,7000,
105,Solar Sme,1,236,MD,RyanW,2635,,,,,2385,9734,
602,Sustainable Lighting Solutions,1,1132,SC,RyanW,2620,,,,,2580,9500,
333,Encor Solar,1,3584,MO,Guy,2566,,,,,2566,13500,
210,Revolution Energy Systems Inc,1,1045,IL,Guy,2547,,,,,2800,7600,
36,Green Solutions Of Fl,1,5621,FL,RyanW,2523,,,,,2145,3000,
2392,603 Solar,1,4991,NH,RyanW,2517,,,,,1382,1700,
78,Ecovole,1,3584,MO,Guy,2512,,,,,2386,15300,
375,Cod-Vision Solar,1,8756,AZ,Genki,2510,,,,,2970,1600,1
621,Encor,1,3273,TX,Genki,2481,,,,,435,8100,
209,Plug Pv Llc,1,8018,FL,RyanW,2480,,,,,2980,4980,
207,Isaksen Solar,1,224,MA,RyanW,2460,,,,,2890,8560,
2483,Resne Inc*,4,0,RI,RyanW,2460,,,,,2302,3000,
85,Lotus Energy & Solar,1,5621,FL,RyanW,2459,,,,,2997,7820,
894,Emerald Energy,1,6058,NC,RyanW,2455,,,,,2220,7685,
2276,Sunvena Solar,2,0,FL,RyanW,2440,1504,,9300,,,,
280,Solar Energy Systems Of Brevar,1,8018,FL,RyanW,2420,,,,,2570,9600,
255,Insight Ventures Llc,1,224,MA,RyanW,2410,,,,,2190,10590,
818,Tac Solar & Ac,1,237,TX,Genki,2410,,,,,2930,3042,
1577,Tge Solar,1,8187,WA,Genki,2408,,,,,2080,9640,
758,"Sun Services Usa, Llc",1,8756,AZ,Genki,2404,,,,,2844,8886,
958,Momentum Solar,1,5621,FL,RyanW,2400,,,,,8000,15000,
2311,Upscale Energy Inc,2,0,CA,Genki,2380,,,,,2900,,
3266,Best Energy Power*,4,0,NY,RyanW,2380,,,,,4000,7900,
515,Innovative Solar,1,8018,FL,RyanW,2371,,,,,2504,7700,
95,Solarmax,1,8018,FL,RyanW,2348,,,,,2348,9260,
682,Vision Solar,1,236,TX,Genki,2340,,,,,1740,3500,
932,Solar 365,1,239,TX,Genki,2321,,,,,2196,4620,
998,Rise Power Llc,1,237,TX,Genki,2320,,,,,2540,4940,
2411,Stework Llc,1,5621,FL,RyanW,2319,,,,,300,600,
1802,Evolution Power Llc,1,8618,FL,RyanW,2313,,,,,2082,10909,
2019,Hammer & Bell Co,3,0,PA,RyanW,2280,,,,,300,400,
335,Freedom Solar Tx,1,236,FL,RyanW,2260,,,,,3440,6580,
2207,Mann Solar,2,0,KY,Guy,2260,,,2000,,100,,
2871,Mirasol Solar Inc,1,8018,FL,RyanW,2260,,,,,,8080,
687,Solar Specialist Inc,1,5621,FL,RyanW,2245,,,,,1405,11680,
214,Sunpower,1,6435,CA,Genki,2240,,,,,1680,10850,
1575,Atek Distribution,1,4664,MN,Guy,2240,,,,,4000,4000,
