Year_Qtr,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Customer,State,Cust_ID,PC #
2024_Q1,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2024_Q2,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2024_Q3,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2024_Q4,,,,,,,,,,,,-191,,,,,Mn Solar And More,MN,14,6026
2025_Q1,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2025_Q2,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2025_Q3,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2025_Q4,,,,,,,,,,,,,,,,,Mn Solar And More,MN,14,6026
2022_Q1,948,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2022_Q2,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2022_Q3,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2022_Q4,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2023_Q1,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2023_Q2,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2023_Q3,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2023_Q4,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2024_Q1,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2024_Q2,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2024_Q3,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2024_Q4,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2025_Q1,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2025_Q2,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2025_Q3,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2025_Q4,,,,,,,,,,,,,,,,,"Lumio, Inc",UT,13,4560
2022_Q1,495,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2022_Q2,,4.15,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2022_Q3,,,23.8,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2022_Q4,,,,45,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2023_Q1,,,,,39.6,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2023_Q2,,,,,,111.1,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2023_Q3,,,,,,,12.05,,,,,,,,,,Klick Solar Llc,CO,12,8618
2023_Q4,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2024_Q1,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2024_Q2,,,,,,,,,,4.15,,,,,,,Klick Solar Llc,CO,12,8618
2024_Q3,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2024_Q4,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2025_Q1,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2025_Q2,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2025_Q3,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2025_Q4,,,,,,,,,,,,,,,,,Klick Solar Llc,CO,12,8618
2022_Q1,4535.6,,,,,,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2022_Q2,,6768.7,,,,,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2022_Q3,,,4749.64,,,,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2022_Q4,,,,1473.4,,,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2023_Q1,,,,,1720,,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2023_Q2,,,,,,2150,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2023_Q3,,,,,,,2150,,,,,,,,,,Home Pro Solutions,TX,11,5621
2023_Q4,,,,,,,,1290,,,,,,,,,Home Pro Solutions,TX,11,5621
2024_Q1,,,,,,,,,451,,,,,,,,Home Pro Solutions,TX,11,5621
2024_Q2,,,,,,,,,,90.2,,,,,,,Home Pro Solutions,TX,11,5621
2024_Q3,,,,,,,,,,,1373.83,,,,,,Home Pro Solutions,TX,11,5621
2024_Q4,,,,,,,,,,,,1126.4,,,,,Home Pro Solutions,TX,11,5621
2025_Q1,,,,,,,,,,,,,860,,,,Home Pro Solutions,TX,11,5621
2025_Q2,,,,,,,,,,,,,,596.94,,,Home Pro Solutions,TX,11,5621
2025_Q3,,,,,,,,,,,,,,,344,,Home Pro Solutions,TX,11,5621
2025_Q4,,,,,,,,,,,,,,,,,Home Pro Solutions,TX,11,5621
2022_Q1,18398.8,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2022_Q2,,13391.1,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2022_Q3,,,17765.35,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2022_Q4,,,,26540.5,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2023_Q1,,,,,32428.6,,,,,,,,,,,,Granite State Solar,NH,10,4984
2023_Q2,,,,,,34946.2,,,,,,,,,,,Granite State Solar,NH,10,4984
2023_Q3,,,,,,,418.2,,,,,,,,,,Granite State Solar,NH,10,4984
2023_Q4,,,,,,,,123.2,,,,,,,,,Granite State Solar,NH,10,4984
2024_Q1,,,,,,,,,246.4,,,,,,,,Granite State Solar,NH,10,4984
2024_Q2,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2024_Q3,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2024_Q4,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2025_Q1,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2025_Q2,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2025_Q3,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2025_Q4,,,,,,,,,,,,,,,,,Granite State Solar,NH,10,4984
2022_Q1,398787.42,,,,,,,,,,,,,,,,Energy Solut,NJ,2630,2576
2022_Q2,,565596.53,,,,,,,,,,,,,,,Energy Solut,NJ,2630,2576
2022_Q3,,,691506.18,,,,,,,,,,,,,,Energy Solut,NJ,2630,2576
2022_Q4,,,,798349.98,,,,,,,,,,,,,Energy Solut,NJ,2630,2576
2023_Q1,,,,,637578.4,,,,,,,,,,,,Energy Solut,NJ,2630,2576
2023_Q2,,,,,,352634.73,,,,,,,,,,,Energy Solut,NJ,2630,2576
2023_Q3,,,,,,,273902.36,,,,,,,,,,Energy Solut,NJ,2630,2576
2023_Q4,,,,,,,,304550.96,,,,,,,,,Energy Solut,NJ,2630,2576
2024_Q1,,,,,,,,,319554.19,,,,,,,,Energy Solut,NJ,2630,2576
2024_Q2,,,,,,,,,,220646,,,,,,,Energy Solut,NJ,2630,2576
2024_Q3,,,,,,,,,,,172245.9,,,,,,Energy Solut,NJ,2630,2576
2024_Q4,,,,,,,,,,,,167821.71,,,,,Energy Solut,NJ,2630,2576
2025_Q1,,,,,,,,,,,,,96168.16,,,,Energy Solut,NJ,2630,2576
2025_Q2,,,,,,,,,,,,,,91347.57,,,Energy Solut,NJ,2630,2576
2025_Q3,,,,,,,,,,,,,,,160301.99,,Energy Solut,NJ,2630,2576
2025_Q4,,,,,,,,,,,,,,,,93606.79,Energy Solut,NJ,2630,2576
2022_Q1,2045.51,,,,,,,,,,,,,,,,Energy One,KS,9,148
2022_Q2,,,,,,,,,,,,,,,,,Energy One,KS,9,148
