Cust_ID,Customer,Dist_Code,PC #,State,Rep,MINI,APEX,C-MOUNT,Accessories,Tools,Bolts,Screws,Unknown
1855,**Cod**Remove And Replace Sola,1,1875,CO,Genki,10,,,,,,400,
3386,Trident Roofing And Exteriors,1,8018,FL,RyanW,10,,,,,,,
2828,Green Chile Solar Llc,1,148,NM,Genki,10,,,,,,,
3585,Bld La Inc.,1,1024,CA,Genki,10,,,,,,,
3580,Clay Solar Installation Partne,1,3395,FL,RyanW,10,,,,,,,
2713,Palmetto Clean Technology,1,5885,IL,Guy,8,,,,,8,32,
1966,Solar Power Pros Inc,1,1875,CO,Genki,8,,,,,,,
851,Exact Solar,1,5887,NJ,RyanW,8,,,,,,,
607,Sound Energy,1,6026,CO,Genki,8,,,,,,420,
2796,All Energy Solar,1,4664,IL,Guy,8,,,,,,40,
1446,Solar Nova,1,5887,NJ,RyanW,7,,,,,,,
109,Sun Talk Solar,1,1875,CO,Genki,7,,,,,,363,
3230,Sunsol Energy Llc,1,5887,NJ,RyanW,7,,,,,1,,
3235,Santa Maria Electric,1,7605,CA,Genki,7,,,,,,,
3456,Advanced Integrated Electric,1,8018,FL,RyanW,7,,,,,,,
3508,Tes Iii Solutions,1,5887,NJ,RyanW,7,,,,,,,
2847,**Cod** Detach Reset Solar Llc,1,1875,CO,Genki,6,,,,,,320,
203,Cod Sales,1,6026,CO,Genki,6,,,,,,500,
3327,Bright Planet Solar/Bright Ops,1,7133,CA,Genki,6,,,,,,,
