Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,2024_Q1,2024_Q2,2024_Q3,2024_Q4,2025_Q1,2025_Q2,2025_Q3,2025_Q4,Total
"Solar Energy Consulting, Llc",AZ,432,8756,1,Genki,332,,,,415,,,,,,,,,,,,747
"Palmetto Clean Technology, Inc",SC,431,1132,1,RyanW,838.3,,207.5,,83,,,,,,,,,,,,1128.8
Ced - Sacramento,CA,430,7605,1,Genki,,166,,,,,,,,,,,,,,,166
Az Sun Services-Ensemble Sunli,AZ,429,8756,1,Genki,332,,,,,,,,,,,,,,,,332
Powur Pbc,NC,436,6058,1,RyanW,249,415,,,,,,,,,,,,,,,664
Old Colonial Contracting Inc,MA,435,224,1,RyanW,415,166,1203.5,,166,498,,,,,,,,,,,2448.5
Freehold 06,NJ,2628,0,5,RyanW,,,,1328,3237,4731,6723,,,,,,,,,,16019
Energy Renovation Center,CA,434,6435,1,Genki,265.6,166,,,,,,730.4,,,,,,,,,1162
365 Solar Energy Llc,SC,433,1132,1,RyanW,,,,,,,,,,,,,,,,,0
Usesi Guest,WA,2460,0,4,Genki,1245,,,,,,,,,,,,,,,,1245
Rfk Solar,CA,441,6435,1,Genki,107.9,83,,,,,,,,,,,,,,,190.9
Elec3phase Electrical Contract,FL,440,8618,1,RyanW,4980,10292,2241,1411,,,,,,,,,,,,,18924
Construction Art,FL,439,4560,1,RyanW,498,,91.3,,,,,,,,,,,,,,589.3
Cod Only,MD,438,9106,1,RyanW,66.4,1307.25,415,415,83,415,581,,360.8,360.8,811.8,649.44,676.5,1073.38,1046.32,924.55,9186.24
"Suncor Solar Of Florida, Llc",FL,447,5888,1,RyanW,83,1079,83,,,,,,,,,,,,,,1245
Soleil Energy Solutions Llc/Co,TX,446,239,1,Genki,332,83,,,,,,,,,,,,,,,415
Shippee Solar & Construction,CT,445,4984,1,RyanW,12.45,41.5,24.9,1245,,332,,83,90.2,541.2,360.8,270.6,,1172.6,541.2,,4715.45
Kw Solar Solutions,DE,444,5887,1,RyanW,,,,,,,,,,,,,,,,,0
Exact Energy Partners Llc,PA,2141,0,2,RyanW,1944,2332.8,777.6,1944,3499.2,,,583.2,2430,,,583.2,,,,,14094
Cod Sales,CT,442,4984,1,RyanW,,311.25,91.3,83,747,182.6,136.95,166,567.75,360.8,451,1262.8,902,902,45.1,,6209.55
Voltaic Solaire,NY,2261,0,2,RyanW,291.6,,,,,,,,,,,,,,,,291.6
Rising Sun,KS,455,3584,1,Guy,166,,,,,,,,,,,,,,,,166
Rethink Electric,IL,454,4950,1,Guy,49.8,41.5,,,,,,,,,,,,,,,91.3
Lunex Power Inc,MA,453,224,1,RyanW,,,,,,,,,,,1262.8,,811.8,,,,2074.6
Lifetime Solar,KS,452,3584,1,Guy,,,166,,,,,,,,,,,,,,166
Iowa Solar,IA,451,987,1,Guy,,,,,,,,,,,,,,,,,0
Emerald Sun Savers,FL,450,5621,1,RyanW,332,,,207.5,,,,,,,,,,,,,539.5
Dba Green Sun Solar Solutions,TX,449,1987,1,Genki,269.75,,,,,,,,,,,,,,,,269.75
Trinity Solar,MA,467,4984,1,RyanW,33.2,41.5,41.5,830,1245,996,498,,,,,,,,,,3685.2
Sunnova Energy Corp-Direct Pay,AZ,465,8756,1,Genki,830,,,,,,,,,,,,,,,,830
Sunlight Solar,VA,464,6408,1,RyanW,249,332,124.5,,,,,,,,,,,,,,705.5
Soleil Energy Solutions Llc,TX,463,236,1,Genki,166,,,,,,,,,,,,,,,,166
Orbit Energy & Power Llc,FL,2489,0,4,RyanW,1992,,,,,,,,,,,,,,,,1992
Nivo Solar,TX,462,237,1,Genki,83,249,166,498,269.75,,,,,,,,,,,,1265.75
Morg,PA,461,5887,1,RyanW,53.95,,,,,,,,,,,,,,,,53.95
Middletow 01,NJ,2624,0,5,RyanW,498,,,,166,498,,,519.6,180.4,,,,,,,1862
Henderson Electric,CA,460,7605,1,Genki,99.6,1942.2,,,,,190.9,,,,992.2,,,,,,3224.9
Green Solar Technologies,IA,459,4664,1,Guy,186.75,913,232.4,,,,,,,,,,,,,,1332.15
Cost Adjustments,FL,458,5888,1,RyanW,1336.3,,,,,,,,,,,,,,,,1336.3
Cod Equisolar,NV,457,4090,1,Genki,211.65,99.6,,,,,,,,,,,,,,,311.25
603 Electric,NH,456,224,1,RyanW,581,498,,,,,,,,,,,,,,,1079
Trismart Solar,AZ,471,8756,1,Genki,,3996.45,996,,,,,,,,,,,,,,4992.45
Sunlight Solar Energy Inc,CO,470,1127,1,Genki,8.3,,12.45,24.9,,,,,,,,,,,,,45.65
