Customer,State,Cust_ID,PC #,Dist_Code,Rep,2022_Q1,2022_Q2,2022_Q3,2022_Q4,2023_Q1,2023_Q2,2023_Q3,2023_Q4,Total
South Carolina,SC,187,224,1,Justin,,,,,,,,,
Speir Innovations Llc,TX,188,236,1,Ken,,,,,,,,,
Ced - Austin,FL,189,8018,1,Justin,,,,,,,,,
Cod Sales,TX,190,236,1,Ken,,,,,,,59,,
Cod Solar Acct Only,CA,191,7605,1,Rob,,,,,,,,,
Everlight Solar,MN,192,4664,1,Guy,,,,,,,,,
Green House Solar & Air Inc,FL,193,8018,1,Justin,,,,,,,,,
Imperium Electric,TX,194,1987,1,Ken,,,,,,,,,
Innovative Solar Energy,FL,195,5621,1,Justin,,,,,,,,,
Kuubix Global Llc,FL,196,5621,1,Justin,,,,,,,,,
"Lumio, Inc",FL,197,5888,1,Justin,,,,,,,,,
Onsite Energy,MT,198,821,1,Rob,,,,,,,,,
Profesional Electrical Services Inc,FL,199,5621,1,Justin,,,,,,,,,
Solaria Energy Solutions,FL,200,5621,1,Justin,,,,,,,,,
Synergy Solar,FL,201,5621,1,Justin,,,,,,,,,
C & C Contracting Solutions Llc,FL,202,8018,1,Justin,,,,,,,,,
Cod Sales,CO,203,1127,1,Ken,,,,,,,,,
Cod-Solustria Solar Llc,TX,204,1987,1,Ken,,,,,,,,,
Empower Energy Solutions,MA,205,4431,1,Chris,,,,,,,,,
Ion Solar Pros,CT,206,4984,1,Chris,,,,,,,,,
Isaksen Solar,MA,207,224,1,Chris,,,,,,,,,
Nw Electric And Solar,WA,208,8064,1,Rob,,,,,,,,,
Plug Pv Llc,FL,209,8018,1,Justin,,,,,,,,,
Revolution Energy Systems Inc,IL,210,1045,1,Guy,,,,,,,,,
Solgen Power Llc,WA,211,5971,1,Rob,,169.92,7080,,,,590,,
Sun Pro,OH,212,1154,1,Guy,,,,,,,,,
Sunpower,IL,213,4984,1,Guy,,,,,,,,,
Sunpower,CA,214,6435,1,Rob,,,,,,,,,
United Better Homes,RI,215,224,1,Chris,,,,,,,,,
Great Sky,MA,216,224,1,Chris,,,,,,,,,
Grne Solar,IA,217,987,1,Guy,,,,,,,,,
Milholland Electric,NM,218,148,1,Ken,,,,,,,,,
Rising Sun Epc,OK,219,236,1,Ken,,,,,,,,,
Solar My Home,FL,220,4560,1,Justin,,,,,,,,,
Summit Energy Group,MA,221,224,1,Chris,,,,,,,,,
United Better Homes,MA,222,224,1,Chris,,,,,,,,,
Carbon Recall Chattanooga,TN,223,6640,1,Guy,,,,,,,,,
Ced - Riverside,CA,224,8756,1,Rob,,,,,,,,,
Ced - Vineland,MD,225,1045,1,Chris,,,,,,,,,
Cod Sales,NC,226,6058,1,Chris,,,,,,,,,
Go Green Industries Inc,MA,227,224,1,Chris,,,,,,,,,
Hurricane Heroes,FL,228,5621,1,Justin,,,,,,,,,
Krannich Solar East Llc,NJ,229,5887,1,Chris,,,,,,,,,
Larsun Solar Llc,CA,230,6435,1,Rob,,,,,,,,,
Premier Renewables Llc,CO,231,1875,1,Ken,,,,,,,,,
Solar Advantage Llc,FL,232,8018,1,Justin,,,,,,,,,
Solar Cen Tex,TX,233,236,1,Ken,,,,,,,,,
Sunwatt Energy,NM,234,148,1,Ken,,,,,,,,,
Greenlight Solar - Tx,LA,235,236,1,Ken,,,,,,,,,
Infinium Solar,CA,236,7492,1,Rob,,,,,,,,,
Solar Five,MA,237,224,1,Chris,,,,,,,,,
Sunshine Renewable Solutions Shop,TX,238,3273,1,Ken,,,,,,,,,
Circa Energy,MD,239,9106,1,Chris,,,,,,,,,
Ecoliving Inc Dba Solar Ventures,CA,240,5733,1,Rob,,,,,,,,,
Our World Energy,AZ,241,8756,1,Ken,,,,,,,,,
Palmetto,MA,242,224,1,Chris,,,,,,,,,
Sunpro,VA,243,6408,1,Chris,,,,,,,,,
Switch Electric Llc,WA,244,8064,1,Rob,,,,,,,,,
**Cod** Detach And Reset Solar Llc,CO,245,1875,1,Ken,,,,,,,,,
Bright Home Solar Dba Florida Power,FL,246,8018,1,Justin,,,,,,,,,
Go Solar Power Llc,FL,247,4560,1,Justin,,,47.2,,575.84,184.08,,,
Infenergy Llc,FL,248,8018,1,Justin,,,,,,,,,
Palmetto Solar,IL,249,4950,1,Guy,,,,,,,,,
Sunnymac,DE,250,5887,1,Chris,,,,,,,,,
Sunrgy Llc,TX,251,236,1,Ken,,,,,,,,,
Capital - Tempe,AZ,252,6692,1,Ken,,,,,,,,,
Cod-The Sun Company,AZ,253,8756,1,Ken,,,,,,,,,
Ecovole,IA,254,987,1,Guy,,,,,,,,,
Insight Ventures Llc,MA,255,224,1,Chris,,,,,,,,,
Jeh Solar Llc,LA,256,1132,1,Ken,,,,,,,,,
Jolma Electric,WI,257,4407,1,Guy,,,,,,,,,
New Prarie Construction,IL,258,6640,1,Guy,,,,,,,,,
Northeast Solar Dba Revoluson,MA,259,224,1,Chris,,,,,,,,,
