P_N,N,Category,Lot,Price_ea,Description_Original,Description_clean,Description
RT3-02-UMSBK-01,,APEX,12,$15.31,RT-APEX Middle Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX Middle Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex middle clamp splice universal height pv frame h32 40mm 12 ea box
RT3-02-UMSBK-20,,APEX,12,$15.31,RT-APEX Middle Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea./BOX,RT-APEX Middle Clamp Splice Universal Height (PV Frame H32-40mm) 12 ea/box,rt apex middle clamp splice universal height pv frame h32 40mm 12 ea box
RT3-03-SK80BL,1,APEX,8,$17.00,"RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)","RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)",rt apex skirt 80 2032mm 8ea box x 1 set 1 rt apex skirt and 1 skirt 8 set in 1 box
RT3-03-SK80BL-00,,APEX,8,$17.00,"RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)","RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)",rt apex skirt 80 2032mm 8ea box x 1 set 1 rt apex skirt and 1 skirt 8 set in 1 box
RT3-03-SK80BL-01,,APEX,8,$17.00,"RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)","RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)",rt apex skirt 80 2032mm 8ea box x 1 set 1 rt apex skirt and 1 skirt 8 set in 1 box
RT3-03-SK80BL-20,,APEX,8,$1.00,"RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)","RT-APEX Skirt 80 (2032mm) (8ea./Box X) (1 set = 1 RT-Apex Skirt and 1 Skirt, 8 set in 1 box)",rt apex skirt 80 2032mm 8ea box x 1 set 1 rt apex skirt and 1 skirt 8 set in 1 box
RT3-04-BUTYL,1,Accessories,12,$1.18,RT-Butyl for APEX 12 ea./BOX,RT-Butyl for APEX 12 ea/box,rt butyl for apex 12 ea box
RT3-04-BUTYL-01,,Accessories,12,$1.18,RT-Butyl for APEX 12 ea./BOX,RT-Butyl for APEX 12 ea/box,rt butyl for apex 12 ea box
RT3-04-BUTYL-20,,Accessories,12,$1.18,RT-Butyl for APEX 12 ea./BOX,RT-Butyl for APEX 12 ea/box,rt butyl for apex 12 ea box
RT3-04-ENDCAP,1,APEX,230,$2.66,Skirt End Cap (L R with screws) 120ea/BOX (RT3-04-SKCAP),Skirt End Cap (L R with screws) 120ea/BOX (RT3-04-SKCAP),skirt end cap l r with screws 120ea box rt3 04 skcap
